Station Label,Easting (m),Northing (m),Elevation (m),Time_str,Time (h),obs (mGal),S.D,Profile Distance (m),g_final
48.0,454958.542,4399923.348,2413.051,10:50:33,0.6052777777777778,3505.918,0.02,0.0,-3102.4529317079146
46.0,454956.555,4399923.374,2413.392,10:54:59,0.6791666666666667,3505.867,0.014,1.9871700984239227,-3102.5380035562885
44.0,454954.594,4399923.473,2413.734,10:59:09,0.7486111111111111,3505.789,0.016,3.9506674883173662,-3102.6438553222115
42.0,454952.624,4399923.567,2414.068,11:03:33,0.8219444444444445,3505.741,0.012,5.922908852808558,-3102.726599013155
40.0,454950.647,4399923.695,2414.384,11:07:00,0.8794444444444445,3505.665,0.015,7.904048171528793,-3102.819241215304
Base,454960.481,4399923.231,2412.673,11:11:53,0.9608333333333333,3506.367,0.018,,
38.0,454948.68,4399923.782,2414.685,11:15:56,1.0283333333333333,3505.601,0.017,9.872971227390803,-3102.874234761799
36.0,454946.71,4399923.903,2415.022,11:21:54,1.1277777777777778,3505.539,0.016,11.846683719107018,-3102.779793133959
34.0,454944.76,4399924.015,2415.342,11:25:11,1.1825,3505.476,0.015,13.799897481086315,-3102.7302763244124
32.0,454942.795,4399924.064,2415.665,11:28:37,1.2397222222222222,3505.412,0.028,15.765508327657326,-3102.6788492883043
30.0,454940.836,4399924.116,2416.061,11:32:16,1.3005555555555555,3505.353,0.012,17.725198354143842,-3102.6047882802704
Base,454960.481,4399923.231,2412.673,11:35:41,1.3575,3506.007,0.015,,
52.0,454962.475,4399923.173,2412.369,11:39:43,1.4247222222222222,3506.065,0.02,39.38473597613598,-3102.5679808784134
54.0,454964.431,4399923.009,2412.095,11:43:05,1.4808333333333332,3506.128,0.013,41.34759919100496,-3102.559931581706
56.0,454966.38,4399922.944,2411.812,11:47:03,1.5469444444444445,3506.209,0.025,43.29768277896198,-3102.535944836707
58.0,454968.374,4399922.865,2411.477,11:50:12,1.5994444444444444,3506.279,0.016,45.29324711017509,-3102.532886874413
60.0,454970.366,4399922.759,2411.241,11:55:03,1.6802777777777778,3506.308,0.017,47.28806539764066,-3102.5519336611187
Base,454960.481,4399923.231,2412.673,11:58:21,1.7352777777777777,3506.015,0.013,,
62.0,454972.341,4399922.634,2411.044,12:01:42,1.791111111111111,3506.365,0.028,49.26701714039184,-3102.535765468938
62.0,454972.341,4399922.634,2411.044,12:04:16,1.833888888888889,3506.38,0.013,49.26701714039184,-3102.52154606271
64.0,454974.35,4399922.552,2410.827,12:08:34,1.9055555555555554,3506.444,0.013,51.27768991331135,-3102.5014710447194
66.0,454976.293,4399922.457,2410.566,12:11:13,1.9497222222222221,3506.492,0.012,53.22301096652103,-3102.5055384474454
68.0,454978.261,4399922.332,2410.296,12:14:31,2.004722222222222,3506.558,0.016,55.194976737008524,-3102.493549443011
70.0,454980.224,4399922.234,2410.015,12:17:55,2.0613888888888887,3506.611,0.019,57.16042147039621,-3102.4967765023202
Base,454960.481,4399923.231,2412.673,12:21:22,2.118888888888889,3506.022,0.019,,
76.0,454986.179,4399921.944,2409.2,12:27:12,2.216111111111111,3506.781,0.016,63.12247858184824,-3102.4922782080866
82.0,454992.1,4399921.688,2408.274,12:32:23,2.3025,3507.002,0.025,69.04901019820758,-3102.457104211293
88.0,454998.022,4399921.427,2407.466,12:35:40,2.357222222222222,3507.208,0.017,74.97675892771794,-3102.412289658318
94.0,455003.971,4399921.186,2406.862,12:39:10,2.4155555555555557,3507.363,0.011,80.93063850329324,-3102.3785271669694
100.0,455009.922,4399920.914,2406.218,12:42:00,2.4627777777777777,3507.538,0.015,86.88785135830742,-3102.332107159925
Base,454960.481,4399923.231,2412.673,12:48:01,2.5630555555555556,3506.042,0.017,,
24.0,454934.897,4399924.421,2417.129,12:51:48,2.6261111111111113,3505.108,0.015,161.99477297013362,-3102.62243985457
18.0,454929.063,4399924.693,2418.33,12:54:36,2.6727777777777777,3504.984,0.019,167.8351102891269,-3102.5098025289126
12.0,454923.188,4399924.958,2419.583,12:57:42,2.7244444444444444,3504.765,0.015,173.7160838479709,-3102.4818644949337
6.0,454917.294,4399925.147,2420.264,13:02:17,2.8008333333333333,3504.635,0.029,179.61311335446302,-3102.4770476873146
0.0,454911.486,4399925.372,2420.991,13:06:17,2.8675,3504.488,0.022,185.42546993337947,-3102.4803414813755
Base,454960.481,4399923.231,2412.673,13:10:32,2.9383333333333335,3506.037,0.023,,
